ProjectID,RequirementText,Class
103,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,F
103,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F
103,Students added to a cohort shall be eligible for the cohort’s Program of Study.,F
103,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,F
103,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,F
103,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,F
103,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,F
103,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,F
103,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,F
103,A class shall be either a non-clinical class or a clinical class.,F
103,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,F
103,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,F
103,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,F
103,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,F
103,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,F
103,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members’ planning purposes.,F
103,The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,F
103,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,F
103,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,F
103,Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.,F
103,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,F
103,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,F
103,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F
103,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F
103,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,F
103,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,F
103,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,F
103,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,F
103,The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,F
103,The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,F
103,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,F
103,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,F
103,The system shall be able to display a printable summary of the system log.,F
103,The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,F
103,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,F
103,The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,F
103,The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,F
103,The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,F
103,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort’s program of study and changes to a given week’s schedule (lab cancelled this week due to instructor illness).,F
103,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student’s status from full time to part time and moving a student to a different clinical section.,F
103,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,F
103,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,F
103,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,F
103,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,F
103,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,F
104,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,LF
104,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,LF
104,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,US
104,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US
104,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US
104,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US
104,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE
104,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE
104,The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday-Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O
104,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O
104,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,O
104,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O
104,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O
104,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant’s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O
104,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SE
104,Only users with Update access must be able to initiate dispute requests.,SE
104,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE
104,All authorized users once authenticated must be able to logon to the Disputes System,SE
104,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user’s access level. The report will be reviewed for auditing purposes.,SE
104,All additions of new users and modifications to user’s access shall be recorded on the User Report.,SE
104,If a user account is revoked it can only be re-instantiated by the System Administrator.,SE
104,Only the System Administrator shall be able to reset a revoked user logon account,SE
104,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SE
104,All updates to data files or database must be initiated from the Disputes System.,SE
104,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,L
104,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,L
104,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L
104,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L
104,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L
104,All actions that modify an existing dispute case must be recorded in the case history.,L
104,The Disputes System must be accessible by both internal and external users.,F
104,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,F
104,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F
104,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,F
104,The Disputes System shall provide view access capability for authorized users of the application.,F
104,The Disputes System shall provide update access capability for authorized users of the application.,F
104,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F
104,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,F
104,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F
104,The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F
104,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,F
104,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,F
104,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F
104,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,F
104,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,F
104,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,F
104,The Disputes System must provide the ability to view existing dispute cases.,F
104,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,F
104,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,F
104,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F
104,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F
104,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,F
104,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F
104,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,F
104,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F
105,The product must support Internet Explorer 5.5 and above.,O
105,The product must support Mozilla Firefox 1.0 and above.,O
105,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,O
105,The product shall run on the existing hardware for all environments.,O
105,The product shall adhere to the corporate Architecture guidelines,O
105,The product shall comply with corporate User Interface Guidelines,LF
105,The product shall comply with corporate color scheme,LF
105,The appearance of the product shall appear professional,LF
105,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,US
105,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US
105,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,US
105,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,US
105,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,US
105,The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PE
105,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PE
105,The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,PE
105,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE
105,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,A
105,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A
105,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC
105,The average number of recycled parts records per day shall be 50 000.,SC
105,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC
105,For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O
105,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O
105,The maintenance of the product will fall within the established corporate maintenance windows.,O
105,The product shall be supported using the corporate support center.,O
105,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O
105,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE
105,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE
105,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SE
105,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SE
105,One insurance company shall not be able to view another insurance companys claim data.,SE
105,The product shall free of computer viruses.,SE
105,The system shall prevent malicious attacks including denial of service.,SE
105,The product must comply with Sarbanes-Oxley.,L
105,The product shall comply with the estimatics laws relating to recycled parts usage.,L
105,The product shall comply with insurance regulations regarding claims processing.,L
105,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,F
105,The vehicle data shall include vehicle year make and model,F
105,The vehicle location shall include street address city state and zipcode,F
105,The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,F
105,The search radius shall be between 1 and 30 miles,F
105,The system shall locate the preferred repair facility with the highest ratings for the input criteria,F
105,The adjuster shall enter the preferred repair facility on the estimate assignment.,F
105,The adjuster shall be able to override the preferred repair facility on the estimate assignment.,F
105,The preferred repair facility shall be returned to the user.,F
105,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F
105,The estimator shall search for available recycled parts using damaged vehicle parts information.,F
105,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,F
105,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,F
105,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,F
105,The system shall retain the available recycled parts and suppliers returned from the search.,F
105,The available recycled parts information and their suppliers shall be returned to the user.,F
105,The estimator shall apply selected recycled parts to the collision estimate.,F
105,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,F
105,The adjuster shall review the collision estimate.,F
105,The adjuster shall request a recycled parts audit of the collision estimate.,F
105,The recycled parts search results provided to the estimator shall be retrieved by the system.,F
105,The system shall generate an audit report based on the available recycled parts and the collision estimate.,F
105,The audit report shall include the total number of recycled parts used in the estimate.,F
105,The audit report shall include the number of available recycled parts from the original search results.,F
105,The audit report shall include the percentage of available recycled parts used in the estimate,F
105,The audit report shall include the total score of the audit which sums the individual line items.,F
105,The audit report shall be displayed to the user.,F
105,The audit report shall be available to other adjusters at later points in time.,F
105,The user shall select to view the preferred repair facility ratings.,F
105,The current repair facility ratings shall be displayed to the user.,F
105,The system will display a blank set of ratings if there are not ratings yet defined.,F
105,The user shall enter new ratings based on the audit report,F
105,The ratings shall be from a scale of 1-10,F
105,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,F
105,The user shall select to save the preferred repair facility ratings.,F
105,The preferred repair facility ratings shall be saved by the system.,F
106,The product must work with most database management systems (DBMS) on the market whether the DBMS is collocated with the product on the same machine or is located on a different machine on the computer network.,O
106,The product will function alongside server software on any operating system where the Java runtime can be installed.,O
106,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
106,The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,O
106,A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,O
106,The product’s Look and Feel shall be able to incorporate aspects of the customer’s organization such as logo branding and identity,LF
106,The product shall have a conservative and professional appearance.,LF
106,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US
106,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US
106,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US
106,The product shall allow the user to select a chosen language from one of the target market countries.,US
106,The product shall allow for customization of start page and views preferences.,US
106,An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,US
106,The product shall use a standard navigation menu familiar to most web users.,US
106,The product shall allow for intuitive searching of available conference rooms.,US
106,The product shall conform to the Americans with Disabilities Act.,US
106,The response shall be fast enough to avoid interrupting the user’s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE
106,Aside from server failure the software product shall achieve 99.99% up time.,A
106,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT
106,The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC
106,The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,SC
106,The product shall be expected to operate for at least 5 years for each customer installation.,SC
106,The product shall be used in office environments.,O
106,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O
106,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O
106,The product must be able to interface with various email servers. The product shall be able to send email.,O
106,The product shall be available for distribution via the Internet as a binary or ZIP file.,O
106,The product shall be available for distribution as a packaged CD.,O
106,The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,O
106,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,US
106,The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN
106,The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product’s software code.,MN
106,Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
106,Every registered user will have access to the product’s support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,US
106,The customer shall be able to easily integrate new building maps with the product throughout the product’s lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MN
106,The product shall be translated into foreign languages other than the target market countries’ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market’s language.,US
106,The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,O
106,The product shall be able to be installed in any operating environment within 2 days.,O
106,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user Ids.,SE
106,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,SE
106,The product shall ensure that the database’s data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,SE
106,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems’ data shall remain 100% uncorrupted each time malicious data is input into the product.,SE
106,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT
106,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE
106,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC
106,The product shall be able to display calendar dates and times according to the user’s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US
106,The product must be developed with the J2SE/J2EE programming language libraries,O
106,The product shall record meeting entries.,F
106,The product will notify employees of meeting invitations.,F
106,The product shall have the ability to send meeting reminders to employees.,F
106,The product shall assign the organizers contact information to each meeting they create.,F
106,The product will record meeting acknowledgements.,F
106,The product shall store new conference rooms.,F
106,The product shall update existing conference rooms.,F
106,The product will be able to delete conference rooms.,F
106,The product shall be able to store new room equipment.,F
106,The product will update existing room equipment.,F
106,The product shall be able to delete room equipment.,F
106,The product shall allow an organizer to invite other employees to meetings.,F
106,Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,F
106,The product shall record the transportation status of equipment reserved.,F
106,The product shall display a map of the company building showing conference room locations.,F
106,The product shall record updated meeting agendas.,F
106,The product shall send a meeting confirmation to the meeting organizer.,F
106,The product shall display room equipment according to search parameters.,F
106,The product shall display conference rooms according to search parameters.,F
106,The product shall record different meeting types.,F
106,The product shall record all the equipment that has been reserved.,F
106,The product shall notify building personnel of equipment transport requests.,F
106,The product will allow privileged users to view meeting schedules in multiple reporting views.,F
106,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,F
106,The product shall have a customizable Look and Feel.,F
106,The product shall have an intuitive user interface.,F
106,The product will display an available status for unreserved conference rooms.,F
107,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE
107,The System shall allow for a minimum of 6 users to work at the same time.,PE
107,The System shall utilize currently owned computer equipment.,O
107,The System shall be able to automatically backup business data and restore them on demand.,O
107,The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,SE
107,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,SE
